# t(ms)	mean_x1	mean_x2
0	0.0603967	-0.202645
0.05	0.0285468	-0.225837
0.1	-0.0159955	-0.248858
0.15	-0.0582727	-0.271734
0.2	-0.100304	-0.294541
0.25	-0.129398	-0.317162
0.3	-0.174321	-0.339629
0.35	-0.204805	-0.361725
0.4	-0.236821	-0.383768
0.45	-0.26042	-0.405678
0.5	-0.291401	-0.427505
0.55	-0.319939	-0.449217
0.6	-0.349434	-0.470639
0.65	-0.375075	-0.492041
0.7	-0.396798	-0.513094
0.75	-0.404808	-0.534115
0.8	-0.429979	-0.554841
0.85	-0.449002	-0.575581
0.9	-0.459928	-0.59605
0.95	-0.460846	-0.616327
1	-0.463297	-0.636464
1.05	-0.458726	-0.656309
1.1	-0.455535	-0.676106
1.15	-0.452222	-0.695595
1.2	-0.44913	-0.714781
1.25	-0.45363	-0.733871
1.3	-0.441211	-0.752605
1.35	-0.440285	-0.77116
1.4	-0.437616	-0.789408
1.45	-0.438725	-0.807452
1.5	-0.412829	-0.825226
1.55	-0.391299	-0.842652
1.6	-0.385679	-0.859858
1.65	-0.396809	-0.876865
1.7	-0.378214	-0.893631
1.75	-0.356707	-0.910104
1.8	-0.350988	-0.926274
1.85	-0.34464	-0.942216
1.9	-0.339848	-0.95786
1.95	-0.34426	-0.973285
2	-0.334404	-0.988352
2.05	-0.324886	-1.00327
2.1	-0.317372	-1.01799
2.15	-0.304367	-1.0324
2.2	-0.281531	-1.04658
2.25	-0.28072	-1.06062
2.3	-0.283055	-1.07435
2.35	-0.276654	-1.08775
2.4	-0.266816	-1.10093
2.45	-0.230276	-1.11388
2.5	-0.219619	-1.12665
2.55	-0.219604	-1.13921
2.6	-0.21976	-1.15161
2.65	-0.221194	-1.16378
2.7	-0.194985	-1.17566
2.75	-0.174986	-1.1873
2.8	-0.156327	-1.19872
2.85	-0.135343	-1.20997
2.9	-0.131231	-1.22093
2.95	-0.12064	-1.23155
3	-0.123665	-1.24211
3.05	-0.0999094	-1.25232
3.1	-0.0778466	-1.26225
3.15	-0.0654012	-1.27216
3.2	-0.0412158	-1.28162
3.25	-0.034051	-1.29079
3.3	-0.0274864	-1.29968
3.35	-0.00851683	-1.3084
3.4	0.00814287	-1.31695
3.45	0.0365975	-1.3251
3.5	0.0641628	-1.33299
3.55	0.0960584	-1.34056
3.6	0.108988	-1.34795
3.65	0.129816	-1.35496
3.7	0.14976	-1.3617
3.75	0.175274	-1.36818
3.8	0.190469	-1.37432
3.85	0.211487	-1.38024
3.9	0.218808	-1.38579
3.95	0.228852	-1.39099
